months
--------
2017-10,2,3,14
2017-11,1,1,26
2017-12,2,0,19
2018-01,0,5,8
2018-02,1,0,11
2018-03,2,0,14
2018-04,2,3,4
2018-05,4,9,14
2018-06,2,9,15
2018-07,12,9,7
2018-08,0,0,1

weeks
---------
2017-10 week #0,0,0,1
2017-10 week #1,1,1,0
2017-10 week #2,1,1,5
2017-10 week #3,0,1,5
2017-10 week #4,0,0,3
2017-11 week #0,0,0,6
2017-11 week #1,0,0,7
2017-11 week #2,0,0,7
2017-11 week #3,1,1,4
2017-11 week #4,0,0,2
2017-12 week #0,0,0,6
2017-12 week #1,1,0,6
2017-12 week #2,0,0,6
2017-12 week #3,1,0,1
2018-01 week #0,0,4,0
2018-01 week #1,0,0,2
2018-01 week #3,0,1,6
2018-02 week #0,0,0,1
2018-02 week #1,0,0,4
2018-02 week #2,0,0,4
2018-02 week #3,0,0,2
2018-02 week #4,1,0,0
2018-03 week #1,0,0,4
2018-03 week #2,0,0,5
2018-03 week #3,2,0,5
2018-04 week #3,2,2,2
2018-04 week #4,0,1,2
2018-05 week #0,2,4,0
2018-05 week #1,1,0,5
2018-05 week #2,0,1,4
2018-05 week #3,0,2,4
2018-05 week #4,1,2,1
2018-06 week #0,0,2,3
2018-06 week #1,1,2,3
2018-06 week #2,1,1,4
2018-06 week #3,0,2,5
2018-06 week #4,0,2,0
2018-07 week #0,3,3,0
2018-07 week #1,4,2,1
2018-07 week #2,3,2,1
2018-07 week #3,2,0,4
2018-07 week #4,0,2,1
2018-08 week #0,0,0,1
